source_id,paper_title,final_status,extraction_readiness,local_relpath,current_folder,notebook_present,local_present,local_file_exists,expected_folder_group,folder_status,local_presence_status
cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,include_primary,ready_extract,literature/META_ANALYSIS_POOL/Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
f4fefc50-aaa5-4724-8463-16f6f62dcb9f,Leuzinger et al. - 2012 - Energy allocation in a reef coral under varying resource availability.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Leuzinger et al. - 2012 - Energy allocation in a reef coral under varying resource availability.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
bbeda1b0-0f29-4d5b-aca5-7a930eb1be76,Levanoni - 2021 - Coral Tissue Growth and Regeneration Conjoin the Advent of Adult Stem Cell-Like Cells.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Levanoni - 2021 - Coral Tissue Growth and Regeneration Conjoin the Advent of Adult Stem Cell-Like Cells.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
bf7c803e-e2d9-4ba0-9d47-d645896f4be4,Levanoni et al. - 2024 - Coral Tissue Regeneration and Growth Is Associated with the Presence of Stem-like Cells.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Levanoni et al. - 2024 - Coral Tissue Regeneration and Growth Is Associated with the Presence of Stem-like Cells.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",include_primary,ready_extract,"literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",include_primary,ready_extract,"literature/META_ANALYSIS_POOL/Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
,Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro-fragmentation in the scleractinian.pdf,duplicate_alias,not_for_extraction,literature/DUPLICATES/Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro-fragmentation in the scleractinian.pdf,DUPLICATES,0,1,1,DUPLICATES,ok,ok
3077a17c-6c27-4f2e-9b9c-6efea0b17328,Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro‐fragmentation in the scleractinian.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro‐fragmentation in the scleractinian.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
d3d8c44a-eb30-458a-9f59-d93894d9305b,"Lock - Quantifying physiological responses to physical injury in Porites lobata, using a transcriptomic app.pdf",duplicate_alias,not_for_extraction,"literature/DUPLICATES/Lock - Quantifying physiological responses to physical injury in Porites lobata, using a transcriptomic app.pdf",DUPLICATES,1,1,1,DUPLICATES,ok,ok
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
9189fc2a-add9-4066-aebe-ad7bfaa7973b,Luz et al. - 2018 - A polyp from nothing The extreme regeneration capacity of the Atlantic invasive sun corals Tubastra.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Luz et al. - 2018 - A polyp from nothing The extreme regeneration capacity of the Atlantic invasive sun corals Tubastra.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
