source_id,paper_title,missing_location_raw,missing_exact_coords_latlon,missing_best_coords_latlon,missing_depth,missing_growth_form,missing_tissue_type,missing_area_mm2,missing_temperature_c,missing_sample_size,remaining_issue_count,remaining_issues
2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,0,0,0,1,0,0,0,1,0,2,missing_depth; missing_temperature_c
58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",0,1,0,0,0,0,0,1,0,2,missing_exact_coords_latlon; missing_temperature_c
65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,0,0,0,0,0,0,0,1,0,1,missing_temperature_c
45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,0,1,0,0,0,0,0,1,0,2,missing_exact_coords_latlon; missing_temperature_c
4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,0,1,0,0,0,0,0,0,0,1,missing_exact_coords_latlon
04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,0,1,0,0,0,1,1,0,0,3,missing_exact_coords_latlon; missing_tissue_type; missing_area_mm2
a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,0,0,0,1,0,0,1,0,0,2,missing_depth; missing_area_mm2
cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,0,1,0,0,0,0,0,0,0,1,missing_exact_coords_latlon
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",0,0,0,0,0,0,1,1,0,2,missing_area_mm2; missing_temperature_c
3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",0,0,0,0,0,0,0,1,0,1,missing_temperature_c
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,0,0,0,0,0,0,1,1,0,2,missing_area_mm2; missing_temperature_c
