source_id,paper_title,local_relpath,pdf_read_status,pdf_page_count,pdf_bytes,pdf_sha256,text_path,text_chars,text_sha256,title_token_overlap_page_start,read_error
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,read_cached,14,1484991,b9bc4349682092468d266644397306579c799d059f57e67173eb45bddc75c9eb,data/extraction/all_responses/pdf_text/002a60bc-55c8-4fdb-860a-1169fc99b2a8.txt,96350,985079be5784f59425e88d9a55fd59a7a8397c899b38f3fb37596f6aeacb5157,7/7,
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,read_cached,11,1236321,eaf8c45c156a136839921cf54226ac1e6f0605504fa35397c3acd7fa716dd84c,data/extraction/all_responses/pdf_text/034d4e10-aee2-4964-9c77-cb6f4174bd3e.txt,34648,961ab686833b1ac298860283fb339e9080b2498006caf132addbd447746df730,11/12,
04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,read_cached,7,149232,2b49ceb873374517f2e071a2bcc383bd47ce961acf9f8b5216450c075c7a109c,data/extraction/all_responses/pdf_text/04e10b24-592e-4cf3-8f94-226c7904262d.txt,42289,9868f09918c363438c2aede18484964b21880ce2965bdfd678b84a39fb9b5f9b,13/13,
06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,literature/META_ANALYSIS_POOL/Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,read_cached,9,2252227,fd2c60d4d2c233d409b26838398377a00910bbf84f7d093fa287ebff04b4ac1b,data/extraction/all_responses/pdf_text/06ab1757-8fe9-4325-96ed-6f3106b325e4.txt,42410,f35293fa33df7c43e8479e882564810626f9390e216dbc111cd222de99c3ab2b,11/11,
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,literature/META_ANALYSIS_POOL/Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,read_cached,2,729540,4359ada3aff52dd19055fb4c1c8fc55b74c1de0461f5021b86d030cdc6e611dd,data/extraction/all_responses/pdf_text/070cf5f2-ae03-4d99-8e1b-7e07f8428803.txt,22792,cd510a3e280d3c4d842357d18596a5d575c00414cef499819b90ee8c17ba2d13,6/7,
09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,read_cached,13,1296765,bee397b4ad131f60e58309ac7b1648a3fa95b2d73296add0dd24d2ebec48eae8,data/extraction/all_responses/pdf_text/09f69156-3ca0-4bf2-98e2-fe2b25612587.txt,67871,edd2dd37647b500cb2de2e9e7c7e49acdf0d8d20fc5e0233e029589739f9ba4f,12/12,
0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,read_cached,25,1772564,f901edbbc240bb19a4fcd132d6e2cb310cc57790720ebcb4cc5db001010c1044,data/extraction/all_responses/pdf_text/0ccdd954-1740-44d7-a2c6-6280125057b5.txt,126454,01eaa144ff494979a3c037c5bb27314794f8f5588392dbe4938568fdf6da60f8,12/12,
12939915-cb9c-4190-9682-7477eb8d2698,Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,literature/META_ANALYSIS_POOL/Bonesso et al. - 2017 - Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery a.pdf,read_cached,21,17820801,de90e41fb25bc0e2ac7e835f50727be41ed41e907df24586108187f65678f782,data/extraction/all_responses/pdf_text/12939915-cb9c-4190-9682-7477eb8d2698.txt,86256,a7dd713768be6a4eea73d71db42d7658d9840e40e525e7a8ad9f1ef1e54c6046,12/12,
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,read_cached,5,280713,85a283634b3f69ddf03f9e9395e654856d7f09a83d96e7187fb7c62d952856c3,data/extraction/all_responses/pdf_text/12e9e864-5ff1-42c4-a63d-19b5d62a7464.txt,20454,9682611ae71814beccc74a3f005c165d8db61385829c1f40687acf8ea48106b9,6/8,
1d237b2c-1d5d-479a-985a-bde3d28a4fce,Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,literature/META_ANALYSIS_POOL/Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,read_cached,8,447888,20550c2c5656b5ee5dbf7ffdcc41e1ad9c1044a7799b9fd3438dbc9981dff29e,data/extraction/all_responses/pdf_text/1d237b2c-1d5d-479a-985a-bde3d28a4fce.txt,48661,314d1f6e08b957b678109177a3ecfc8ee34b1774cbeb0d185103f3b919381ed7,12/12,
