severity,check_id,file,row_id,source_id,message,expected,observed,notebook_title,local_title,details
warning,duplicate_notebook_source_title,,,bff9a8c6-c6fb-47d7-a11c-21e8f98cf251 | f79ab548-a51c-4f06-8fba-85e151ee2fe4,NotebookLM has multiple sources with the same normalized title.,one source per normalized title,2,May_2023_AcuteturbidityexposureswithPortofM.pdf | May_2023_AcuteturbidityexposureswithPortofM.pdf,,
warning,duplicate_notebook_source_title,,,37c2de26-42d4-43c6-b54d-1b04e2412b74 | 9b64fdb5-d5c6-43d7-b48e-a5dc7bd89175,NotebookLM has multiple sources with the same normalized title.,one source per normalized title,2,Moriarty_2020_Coraldiseasecausesconsequencesand.pdf | Moriarty_2020_Coraldiseasecausesconsequencesand.pdf,,
warning,duplicate_notebook_source_title,,,7ec080cc-81da-477d-b48b-dc7fffbc95bb | af32557c-c3b5-4aaa-b34e-3fdcfd144961,NotebookLM has multiple sources with the same normalized title.,one source per normalized title,2,Qin_2020_Latitudinalvariationinreefcoraltiss.pdf | Qin_2020_Latitudinalvariationinreefcoraltiss.pdf,,
info,blank_source_id,data/literature/LITERATURE_MAP.csv,65,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,final_status=duplicate_alias; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,73,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Kordas et al. - 2011 - Community ecology in a warming world The influence of temperature on interspecific interactions in.pdf,final_status=exclude_review; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,84,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro-fragmentation in the scleractinian.pdf,final_status=duplicate_alias; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,92,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Mass et al. - 2016 - Temporal and spatial expression patterns of biomin.pdf,final_status=exclude_scope; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,109,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Palacio-Castro et al. - 2023 - Increased dominance of heat-tolerant symbionts cre.pdf,final_status=exclude_scope; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,116,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Pogoreutz et al. - 2017 - Sugar enrichment provides evidence for a role of n.pdf,final_status=exclude_scope; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,117,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Putnam and Gates - 2015 - Preconditioning in the reef-building coral Pocillo.pdf,final_status=exclude_scope; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,126,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Rodríguez-Villalobos et al. - 2015 - Explained and unexplained tissue loss in corals fr.pdf,final_status=exclude_scope; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,131,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Samsuri et al. - 2018 - The effectiveness of Trapezia cymodoce in defendin.pdf,final_status=exclude_scope; notebook_present=0
info,blank_source_id,data/literature/LITERATURE_MAP.csv,134,,Source-bearing table row has no source_id to compare against NotebookLM.,NotebookLM source_id when notebook_present=true or final_status is included,blank,,Shantz et al. - 2023 - Positive interactions between corals and damselfis.pdf,final_status=exclude_scope; notebook_present=0
