table_name,csv_line,source_id,paper_title,local_relpath,response_type,source_file_status,source_pdf_sha256,workplan_crosswalk_status,source_match_status,figure_or_table_label,page,panel_label,extraction_provenance,qa_status,units_field,units_value,variance_type_field,variance_type_value,sample_size_field,sample_size_value,value_fields,missing_required_fields,review_status,recommended_action,reviewer,review_notes
EXTRACTION_FITNESS.csv,5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,local_pdf_available,d82fd98f1fbe1f38bb88c7c61e2e56414ef2e6688b39c850443acc90f379dce2,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Eggs/Polyp,Var_Type,SD,Sample_Size,225,Control_Mean=69.9; Control_Var=46; Wounded_Mean=35.0; Wounded_Var=40,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,local_pdf_available,d82fd98f1fbe1f38bb88c7c61e2e56414ef2e6688b39c850443acc90f379dce2,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Eggs/Polyp,Var_Type,SD,Sample_Size,261,Control_Mean=29.2; Control_Var=37; Wounded_Mean=7.6; Wounded_Var=15,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,7,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",reproduction,local_pdf_available,11bd5bb55b227526bcbba7ab77d3016a564ca8c47e16df793f492941b9b24cc1,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Reproductive Potential (IRP),Var_Type,SE,Sample_Size,36,Control_Mean=43.94; Control_Var=4.57; Wounded_Mean=59.58; Wounded_Var=4.55,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,8,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,local_pdf_available,675d73643373ad95e31df5ffad012447b9394b18a543a2ead7cdcbaf142ed60e,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Eggs/20 mesenteries,Var_Type,None,Sample_Size,29,Control_Mean=13.0; Control_Var=0; Wounded_Mean=6.0; Wounded_Var=0,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,9,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",reproduction,local_pdf_available,ec4395af1d7c353e489982cbf6cbcac0f50578514d783a08fb630079b7ff9fff,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,% Colonies with Gametes,Var_Type,None,Sample_Size,10,Control_Mean=80; Control_Var=0; Wounded_Mean=0; Wounded_Var=0,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,10,fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,reproduction,local_pdf_available,ebfd0299459e9fb63edcefe7b997b7db18dc5bbd4043ff4712e877a0604339e3,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Egg Area (mm2),Var_Type,SE,Sample_Size,24,Control_Mean=0.055; Control_Var=0.005; Wounded_Mean=0.049; Wounded_Var=0.006,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,11,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,local_pdf_available,c5a362c8f2fcf88c30e2fdeed0780355986ce6bbbf95062fd80e2d209cb29c4b,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Growth (mg cm-2 d-1),Var_Type,SE,Sample_Size,8,Control_Mean=2.83; Control_Var=0.15; Wounded_Mean=1.72; Wounded_Var=0.12,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,12,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,local_pdf_available,c5a362c8f2fcf88c30e2fdeed0780355986ce6bbbf95062fd80e2d209cb29c4b,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Growth (mg cm-2 d-1),Var_Type,SE,Sample_Size,8,Control_Mean=2.15; Control_Var=0.09; Wounded_Mean=0.99; Wounded_Var=0.08,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,13,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,growth,local_pdf_available,671ecaca908906fb02f892aac39596ba212524c1947d16cfad2b75e1abca335f,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Growth (mg cm-2 d-1),Var_Type,SE,Sample_Size,10,Control_Mean=1.39; Control_Var=0.2; Wounded_Mean=1.74; Wounded_Var=0.2,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,14,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,growth,local_pdf_available,671ecaca908906fb02f892aac39596ba212524c1947d16cfad2b75e1abca335f,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Growth (mg cm-2 d-1),Var_Type,SE,Sample_Size,10,Control_Mean=1.58; Control_Var=0.2; Wounded_Mean=1.18; Wounded_Var=0.2,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,growth,local_pdf_available,65203e06a0e5aeb63d41c58b21ccfbdf07f8e7ce4d4617c196f0affeed4b62ef,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Calcification (mg cm-2 d-1),Var_Type,SE,Sample_Size,20,Control_Mean=0.79; Control_Var=0.08; Wounded_Mean=0.6; Wounded_Var=0.05,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,16,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,growth,local_pdf_available,65ab2fc2bfd1493d19d9ace3a2426c4e55aee6f85fec96a57d13c6d59dfa0279,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Calcification (mg cm-2 d-1),Var_Type,SE,Sample_Size,20,Control_Mean=2.19; Control_Var=0.05; Wounded_Mean=1.49; Wounded_Var=0.1,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_FITNESS.csv,17,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,growth,local_pdf_available,5326e5995d35911ccc9e67da7394adc21b3d7c30a2bd35b332227afd125d1091,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Outcome_Type,Linear Growth (cm d-1),Var_Type,SD,Sample_Size,30,Control_Mean=0.04; Control_Var=0.01; Wounded_Mean=0.015; Wounded_Var=0.01,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_SURVIVAL.csv,2,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,local_pdf_available,11bd5bb55b227526bcbba7ab77d3016a564ca8c47e16df793f492941b9b24cc1,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,survival_counts,raw_counts,survival_counts,raw_counts,Control_Total|Wounded_Total,14|24,Control_Total=14; Control_Dead=1; Wounded_Total=24; Wounded_Dead=14; Duration_Days=395,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_SURVIVAL.csv,3,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,local_pdf_available,11bd5bb55b227526bcbba7ab77d3016a564ca8c47e16df793f492941b9b24cc1,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,survival_counts,raw_counts,survival_counts,raw_counts,Control_Total|Wounded_Total,14|33,Control_Total=14; Control_Dead=1; Wounded_Total=33; Wounded_Dead=20; Duration_Days=395,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_SURVIVAL.csv,4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,local_pdf_available,b9bc4349682092468d266644397306579c799d059f57e67173eb45bddc75c9eb,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,survival_counts,raw_counts,survival_counts,raw_counts,Control_Total|Wounded_Total,11|11,Control_Total=11; Control_Dead=1; Wounded_Total=11; Wounded_Dead=3; Duration_Days=42,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_SURVIVAL.csv,5,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,local_pdf_available,b9bc4349682092468d266644397306579c799d059f57e67173eb45bddc75c9eb,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,survival_counts,raw_counts,survival_counts,raw_counts,Control_Total|Wounded_Total,11|11,Control_Total=11; Control_Dead=3; Wounded_Total=11; Wounded_Dead=3; Duration_Days=42,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_SURVIVAL.csv,6,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",survival,local_pdf_available,ec4395af1d7c353e489982cbf6cbcac0f50578514d783a08fb630079b7ff9fff,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,survival_counts,raw_counts,survival_counts,raw_counts,Control_Total|Wounded_Total,25|25,Control_Total=25; Control_Dead=0; Wounded_Total=25; Wounded_Dead=10; Duration_Days=1460,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
EXTRACTION_SURVIVAL.csv,7,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,survival,local_pdf_available,85a283634b3f69ddf03f9e9395e654856d7f09a83d96e7187fb7c62d952856c3,matched_workplan_response,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,survival_counts,raw_counts,survival_counts,raw_counts,Control_Total|Wounded_Total,0|0,Control_Total=0; Control_Dead=0; Wounded_Total=0; Wounded_Dead=0; Duration_Days=0,figure_or_table_label|page|panel_label,needs_source_provenance_review,"Verify source PDF, record exact figure/table label, page, panel/all, units, variance, and sample-size source.",,
