source_id,paper_title,local_relpath,response_type,source_match_status,figure_or_table_label,page,panel_label,extraction_provenance,qa_status,Author,Year,Species,Control_Total,Control_Dead,Wounded_Total,Wounded_Dead,Duration_Days,Stressor,Notes
6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Ward,1995,Pocillopora damicornis,14,1,24,14,395,Experimental Fragmentation,58% mortality in fragments
6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Ward,1995,Pocillopora damicornis,14,1,33,20,395,Experimental Dislodgement,60% mortality in dislodged corals
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rice,2021,Porites spp. (massive),11,1,11,3,42,Snail Predation,31% mortality with snails
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Rice,2021,Porites spp. (massive),11,3,11,3,42,Sediment + Snail,Sediment did not further increase mortality
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",survival,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Lirman,2000,Acropora palmata,25,0,25,10,1460,Storm Fragmentation,40% tissue mortality in transplants
12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,survival,manual_source_match,,,,legacy_extraction_row; exact figure/table provenance not yet recorded,needs_source_provenance_review,Bak & Criens,1981,Acropora cervicornis,0,0,0,0,0,Disease following damage,Survival negatively impacted by post-wound disease
