Author,Year,DOI,Paper_Num,Substudy_Num,Study_Type,Location,Lat,Long,Depth_m,Study_Year,Family,Genus,Species,Growth_Form,Tissue_Type,Colony_Size_cm,Symbiont_Clade,Lesion_Source,Method,Lesion_Type,Area_mm2,Rel_Wound_Size,Perimeter_mm,Lesion_Depth,Num_Lesions,Spacing_cm,Location,Rate_Constant_k,Linear_Rate,Areal_Rate,Proportional_Rate,Time_to_Healing,Final_Extent,Duration_days,Interval_days,Temperature_C,Temp_Manip,pCO2_pH,Nutrient_Enrich,Duration,Light_PAR,Light_Regime,Sedimentation,Flow_Regime,Sample_Size,Replication_Level,Randomization,Blocking,Control,Variance,Bias_Score,Notes
Bak,1983,10.1007/bf00395810,1,1,Field,Curacao,12.12,-68.93,1.5,1977,Acroporidae,Acropora,palmata,Branching,Perforate,NA,NA,Experimental,Compressed Air,Tissue+Skeleton,100,NA,35.4,Superficial,32,NA,Apical,NA,NA,1.25,1.25,80,100,80,NA,27,N,NA,N,NA,NA,NA,NA,NA,32,Colony,Y,N,Y,SD,1,Superior regenerator among Caribbean corals
Burmester et al.,2017,10.3354/meps12114,2,1,Lab,Boston (USA),42.36,-71.06,NA,2014,Rhizangiidae,Astrangia,poculata,Encrusting/Massive,Imperforate,NA,S. psygmophilum,Experimental,File+Waterpik,Tissue+Skeleton,12,NA,12.3,1-2mm,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,18,Y,NA,N,NA,NA,NA,NA,NA,NA,Colony,Y,Y,Y,SE,1,Symbiotic state significantly improved healing
Cameron & Edmunds,2014,10.3354/meps10862,3,1,Field,Moorea,-17.48,-149.82,2,2013,Poritidae,Porites,spp.,Massive,Perforate,5,NA,Experimental,Waterpik,Tissue-only,35,NA,21,Surface,32,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,27,N,NA,N,NA,NA,NA,NA,NA,32,Colony,Y,N,Y,SE,1,Simulated browsing (butterflyfish)
Bak & Es,1980,10.1007/bf00395810,4,1,Field,Curacao,12.12,-68.93,22,1976,Agariciidae,Agaricia,agaricites,Encrusting/Foliose,Imperforate,NA,NA,Experimental,Bak et al 1977,Tissue-only,100,NA,35.4,Surface,22,NA,NA,NA,NA,NA,NA,140,8,140,7,27,N,NA,N,NA,NA,NA,NA,NA,22,Colony,Y,N,Y,SD,1,Very slow healing compared to Porites
